Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Donald J. Trump,@realDonaldTrump,2020-12-14T14:24:59.000Z,First Vaccine Administered. Congratulations USA! Congratulations WORLD!,41.4K,53K,374.6K
Donald J. Trump,@realDonaldTrump,2020-12-14T13:57:17.000Z,"“Why did the Swing States stop counting in the middle of the night?” 
@MariaBartiromo
 Because they waited to find out how many ballots they had to produce in order to steal the Rigged Election. They were so far behind that they needed time, & a fake “water main break”, to recover!This claim about election fraud is disputed",44.7K,72.2K,279.4K
Donald J. Trump,@realDonaldTrump,2020-12-14T05:16:49.000Z,"A great honor!Quote Tweet
David Hookstead
@dhookstead
 · Dec 12
Thunderous ""USA! USA! USA!"" chants break out as President Donald Trump arrives for the Army/Navy game.
0:42
8.8M views",20K,36.4K,219.7K
Arthur Schwartz,@ArthurSchwartz,2020-12-12T21:17:27.000Z,"Weird that the WH press pool never followed up on this.Quote Tweet
Jeff Mason
@jeffmason1
 · Oct 22
Tony Bobulinski tells White House press pool it is false that ⁦@JoeBiden⁩ never discussed business with his son, Hunter.",4.4K,19.4K,65.4K
Mollie,@MZHemingway,2020-12-13T03:20:40.000Z,"Far betterQuote Tweet
Chuck Ross
@ChuckRossDC
 · Dec 12
WSJ’s opinion page did better reporting on Hunter Biden and on the Russia collusion farce than its news side did twitter.com/yashar/status/…
Show this thread",2K,8K,40.9K
Donald J. Trump,@realDonaldTrump,2020-12-14T05:03:33.000Z,"What a fool Governor 
@BrianKempGA
 of Georgia is. Could have been so easy, but now we have to do it the hard way. Demand this clown call a Special Session and open up signature verification, NOW. Otherwise, could be a bad day for two GREAT Senators on January 5th.",29.4K,51.7K,224.1K
Donald J. Trump,@realDonaldTrump,2020-12-14T04:56:53.000Z,"Democrats weakened the Signature Verification (and other) safeguards in Georgia. 
@staceyabrams
 played 
@BrianKempGA
 & Secretary of State, for fools. Consent Decree, which is terrible for Republicans (and honest people!), must be opened up NOW - David, Kelly, and I will then win!This claim about election fraud is disputed",12.9K,34.2K,147.8K
Donald J. Trump,@realDonaldTrump,2020-12-14T03:39:42.000Z,"Oh no! What is going on? This is not good news, even for “Indians”. Cancel culture at work!Quote Tweet
Top U.S. & World News
@USRealityCheck
 · Dec 13
Cleveland Indians dropping controversial team name The Cleveland Indians are dropping their controversial nickname, according to a report. Following in the footsteps of the Washington Football Team, Cleveland will remove the “Indians” moniker man... http://twib.in/l/XBnGaKaLn64A #USRC",18.9K,22.3K,103.7K
Donald J. Trump,@realDonaldTrump,2020-12-14T03:31:34.000Z,"People working in the White House should receive the vaccine somewhat later in the program, unless specifically necessary. I have asked that this adjustment be made. I am not scheduled to take the vaccine, but look forward to doing so at the appropriate time. Thank you!",18.9K,30.6K,186.4K
Donald J. Trump,@realDonaldTrump,2020-12-14T03:25:05.000Z,"7:37
808.2K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",11.6K,28.5K,100.1K
Donald J. Trump,@realDonaldTrump,2020-12-13T15:35:18.000Z,How do states and politicians confirm an election where corruption and irregularities are documented throughout? A Swing State hustle!,30.2K,50.5K,250.6K
Donald J. Trump,@realDonaldTrump,2020-12-13T15:11:04.000Z,"The drug companies are going crazy putting up nasty ads against me asking to “withdraw my Favored Nation’s Executive Order”. They don’t want the U.S. to have the lowest drug prices in the world, but we now will. Big reductions coming. No other politician would do this!!!",20.3K,55K,250.3K
Donald J. Trump,@realDonaldTrump,2020-12-12T19:23:25.000Z,"If failing Governor 
@BrianKempGA
 would allow signature verification, David & Kelly would WIN!",42.6K,49K,254.2K
Donald J. Trump,@realDonaldTrump,2020-12-12T18:56:01.000Z,"1:44
9.1M views
From 
Drew Hernandez",46.8K,80.8K,304.6K
Dan Scavino,@DanScavino,2020-12-12T17:59:39.000Z,"President 
@realDonaldTrump
 flies over Freedom Plaza in Marine One, before heading north to West Point for the #ArmyNavyGame.

THANK YOU, PATRIOTS",16.9K,45.5K,196K
Rep. Jim Jordan,@Jim_Jordan,2020-12-12T17:51:49.000Z,"Today’s Left can’t cancel everything. Merry Christmas!Quote Tweet
Niels Lesniewski
@nielslesniewski
 · Dec 11
BREAKING: Christmas Eve is now a federal holiday in 2020, according to an executive order signed Friday by President Trump.",35.2K,31.7K,155.3K
Donald J. Trump,@realDonaldTrump,2020-12-12T16:04:25.000Z,"The Supreme Court had ZERO interest in the merits of the greatest voter fraud ever perpetrated on the United States of America. All they were interested in is “standing”, which makes it very difficult for the President to present a case on the merits. 75,000,000 votes!This claim about election fraud is disputed",69.6K,69.6K,276.3K
Donald J. Trump,@realDonaldTrump,2020-12-12T14:59:13.000Z,"Wow! Thousands of people forming in Washington (D.C.) for Stop the Steal. Didn’t know about this, but I’ll be seeing them! #MAGA",44K,70.2K,361.3K
Donald J. Trump,@realDonaldTrump,2020-12-12T14:53:16.000Z,"Why didn’t Bill Barr reveal the truth to the public, before the Election, about Hunter Biden. Joe was lying on the debate stage that nothing was wrong, or going on - Press confirmed. Big disadvantage for Republicans at the polls!",36.9K,59.6K,254.8K
Donald J. Trump,@realDonaldTrump,2020-12-12T13:47:30.000Z,WE HAVE JUST BEGUN TO FIGHT!!!,106.7K,132.7K,581.4K
Donald J. Trump,@realDonaldTrump,2020-12-12T13:45:37.000Z,"IF Biden gets in, nothing will happen to Hunter or Joe. Barr will do nothing, and the new group of partisan killers coming in will quickly kill it all. Same thing with Durham. We caught them cold, spying, treason & more (the hard part), but “Justice” took too long. Will be DOA!",37.2K,60.3K,257.2K
Donald J. Trump,@realDonaldTrump,2020-12-12T13:41:09.000Z,"A big disappointment!Quote Tweet
toddstarnes
@toddstarnes
 · Dec 11
If the Wall Street Journal story is true and Attorney General Barr knew in the spring about the Biden investigation and kept it quiet -- he should be fired by the end of business today.",15K,33.2K,156K
Donald J. Trump,@realDonaldTrump,2020-12-12T13:36:22.000Z,"I have been doing this. I agree!Quote Tweet
toddstarnes
@toddstarnes
 · Dec 11
At this point @realDonaldTrump should declassify everything. Everything.",21.7K,53.9K,221.2K
